정책명,카테고리,대상,지원내용,신청방법,필요서류,참고사항
의성군 장애인 의료비 지원사업,장애인 지원,의성군에 거주하는 등록 장애인 중 기초생활수급자 및 차상위계층,"연 최대 50만원의 의료비 지원 (입원, 외래, 치료비 포함)",의성군 보건소 또는 읍·면사무소에서 의료비 지원 신청서 작성 및 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 다문화 가정 자녀 교육비 지원,다문화 가정 지원,의성군에 거주하는 다문화 가정의 초·중·고등학생 자녀,학기당 교재비 및 학용품비 최대 10만원 지원,"학교를 통해 신청서를 제출하거나, 의성군청 교육지원과 방문 신청","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 다문화 가정 생활 안정 자금 지원,다문화 가정 지원,의성군에 1년 이상 거주 중인 저소득 다문화 가정,가구당 월 20만원의 생활지원금 최대 6개월간 지급,거주지 읍·면사무소 방문 및 소득 증빙 서류 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 다문화 가정 부모 한국어 교육 지원,다문화 가정 지원,의성군에 거주하는 다문화 가정의 외국인 부모,6개월간 주 2회 한국어 교육 프로그램 무료 제공,의성군청 평생학습관 방문 신청 및 등록,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 다문화 가정 의료비 지원,다문화 가정 지원,의성군에 거주하는 다문화 가정 중 저소득층,연 1회 외래 진료비 및 약제비 최대 20만원 지원,진료비 영수증과 함께 읍·면사무소에 신청서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 다문화 가정 통역 서비스 제공,다문화 가정 지원,의성군에 거주하는 다문화 가정,공공기관 방문 시 통역 서비스 무료 제공,의성군 국제교류센터에 사전 예약 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 다문화 가정 문화 체험 지원,다문화 가정 지원,의성군에 거주하는 모든 다문화 가정,연 2회 가족단위로 참여 가능한 문화 체험 프로그램 무료 제공,"군청 문화관광과에 전화 또는 방문 신청, 선착순 접수","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 가정용 태양광 설치 지원사업,환경 지원,의성군에 거주하는 단독주택 소유자,가정용 태양광 패널 설치 비용의 50%를 최대 200만원까지 지원,의성군청 환경과 방문 또는 온라인 신청서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 친환경 농업 자재 지원사업,환경 지원,의성군 내 친환경 인증 농가,친환경 비료 및 농약 구매비용의 70%를 최대 150만원까지 지원,의성군 농업기술센터에서 신청서 및 친환경 인증서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 전기차 구매 보조금 지원,환경 지원,의성군에 주소지를 둔 개인 또는 법인,전기차 구매시 최대 500만원 보조금 지원,차량 구매 후 의성군청 환경과에 영수증 및 차량 등록증 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 생활 폐기물 감량 지원사업,환경 지원,의성군 내 공동주택 및 사업장,생활 폐기물 감량을 위한 분리수거함 설치비용 80%를 최대 100만원까지 지원,군청 홈페이지 또는 환경과 방문 신청서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 빗물 저금통 설치 지원사업,환경 지원,의성군에 거주하는 모든 가구,빗물 저금통 설치 비용의 60%를 최대 70만원까지 지원,읍·면사무소 방문 신청서 작성 및 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 자전거 도로 활성화 지원사업,환경 지원,의성군 내 학교 및 직장,자전거 주차장 설치 및 수리 비용의 50%를 최대 500만원까지 지원,의성군청 교통과에 설치 계획서 및 견적서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 청소년 스포츠클럽 활성화 지원,체육 지원,의성군 내 중·고등학교에 재학 중인 청소년 스포츠클럽,"연간 최대 200만원의 클럽 운영비 지원(용품 구입, 대회 참가비 등)",학교를 통해 신청서 제출 후 심사를 통해 선정,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 장애인 체육활동 보조금 지원,체육 지원,의성군에 거주하는 등록 장애인,"개인당 연간 50만원 한도 내에서 체육활동 비용(강습료, 장비 대여비 등) 지원",군청 복지과 방문 또는 온라인 신청 후 심사,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 생활체육 우수 동호회 지원사업,체육 지원,의성군에 등록된 생활체육 동호회,"동호회별 연간 최대 300만원의 운영비 지원(대회 개최, 장비 구입 등)",읍·면사무소를 통해 신청서 제출 후 심사,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 노인 체육 프로그램 무료 제공,체육 지원,의성군 주민등록을 둔 만 65세 이상 노인,"주 1회 무료 체육 프로그램(요가, 탁구, 수영 등) 제공","거주지 읍·면사무소 방문 또는 전화, 온라인 신청","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 학교 체육시설 개방 및 관리 지원,체육 지원,의성군 내 초·중·고등학교,방과 후 및 주말 학교 체육시설 개방 운영비 및 안전관리비 연간 최대 500만원 지원,학교별 신청서 제출 후 협약 체결,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 비대면 건강체조 프로그램 지원,체육 지원,의성군 주민 누구나,온라인 플랫폼을 통한 주 2회 비대면 건강체조 프로그램 제공,의성군청 홈페이지를 통한 간단한 회원가입 후 참여 가능,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
